Index;Text;Cause;Effect;Offset_Sentence2;Offset_Sentence3;Cause_Start;Cause_End;Effect_Start;Effect_End;Sentence
0132.00015;Software segment will witness remarkable growth of 7.8% CAGR in the forecast period. Escalating demand for data organization and rising inclination towards regulatory-compliant software owing to customized software, improved workflows and data visibility will fuel the software market.;Escalating demand for data organization and rising inclination towards regulatory-compliant software owing to customized software, improved workflows and data visibility will fuel the software market.;Software segment will witness remarkable growth of 7.8% CAGR in the forecast period.;84.0;;85;285;0;84;<e2>Software segment will witness remarkable growth of 7.8% CAGR in the forecast period.</e2> <e1>Escalating demand for data organization and rising inclination towards regulatory-compliant software owing to customized software, improved workflows and data visibility will fuel the software market.</e1>
0140.00017;Cowen Inc. raised its holdings in Precision BioSciences by 7.5% in the second quarter. Cowen Inc. now owns 1,083,926 shares of the company's stock valued at $14,362,000 after acquiring an additional 75,361 shares in the last quarter.;Cowen Inc. raised its holdings in Precision BioSciences by 7.5% in the second quarter.;Cowen Inc. now owns 1,083,926 shares of the company's stock valued at $14,362,000 after acquiring an additional 75,361 shares in the last quarter.;86.0;;0;86;87;233;<e1>Cowen Inc. raised its holdings in Precision BioSciences by 7.5% in the second quarter.</e1> <e2>Cowen Inc. now owns 1,083,926 shares of the company's stock valued at $14,362,000 after acquiring an additional 75,361 shares in the last quarter.</e2>
0140.00019;Finally, Citadel Advisors LLC raised its holdings in Precision BioSciences by 44.7% in the second quarter. Citadel Advisors LLC now owns 69,892 shares of the company's stock valued at $926,000 after acquiring an additional 21,592 shares in the last quarter.;Finally, Citadel Advisors LLC raised its holdings in Precision BioSciences by 44.7% in the second quarter.;Citadel Advisors LLC now owns 69,892 shares of the company's stock valued at $926,000 after acquiring an additional 21,592 shares in the last quarter.;106.0;;0;106;107;257;<e1>Finally, Citadel Advisors LLC raised its holdings in Precision BioSciences by 44.7% in the second quarter.</e1> <e2>Citadel Advisors LLC now owns 69,892 shares of the company's stock valued at $926,000 after acquiring an additional 21,592 shares in the last quarter.</e2>
0141.00001;Home / briefs / Judge accused of not filing income tax returns  By: Associated Press September 18, 2019 0  An Oklahoma County district judge has been indicted on four counts of failing to file state income tax returns.;failing to file state income tax returns.;Home / briefs / Judge accused of not filing income tax returns  By: Associated Press September 18, 2019 0  An Oklahoma County district judge has been indicted on four counts;;;177;218;0;173;<e2>Home / briefs / Judge accused of not filing income tax returns  By: Associated Press September 18, 2019 0  An Oklahoma County district judge has been indicted on four counts</e2> of <e1>failing to file state income tax returns.</e1>
0143.00016;Money taken out prior to age 65 and used for anything but health-care expenses are subject not only to income taxes, but a 20% penalty, too.;Money taken out prior to age 65 and used for anything but health-care expenses;not only to income taxes, but a 20% penalty, too.;;;0;78;91;140;<e1>Money taken out prior to age 65 and used for anything but health-care expenses</e1> are subject <e2>not only to income taxes, but a 20% penalty, too.</e2>
0149.00005;Councillors heard that moving to collection every second week would save the city $500,000 a year.;Councillors heard that moving to collection every second week;would save the city $500,000 a year.;;;0;61;62;98;<e1>Councillors heard that moving to collection every second week</e1> <e2>would save the city $500,000 a year.</e2>
0152.00008;The original fryer cleaning business works with more than 6,000 customers a week, draining and filtering their oil, in a process that is not just safer than traditional methods, but also environmentally friendly, because most of the fat can be reused.;most of the fat can be reused.;The original fryer cleaning business works with more than 6,000 customers a week, draining and filtering their oil, in a process that is not just safer than traditional methods, but also environmentally friendly,;;;221;251;0;212;<e2>The original fryer cleaning business works with more than 6,000 customers a week, draining and filtering their oil, in a process that is not just safer than traditional methods, but also environmentally friendly,</e2> because <e1>most of the fat can be reused.</e1>
0159.00001;SANTA ROSA, Calif., Sept. 25, 2019 (GLOBE NEWSWIRE) -- Luther Burbank Corporation (the Company) (NASDAQ: LBC), the holding company for Luther Burbank Savings (the Bank), announced this week that it was awarded a $200,000 grant by FHLBank San Francisco (FHLBank) to benefit the Sonoma County Community Development Commission (CDC).;benefit the Sonoma County Community Development Commission (CDC).;SANTA ROSA, Calif., Sept. 25, 2019 (GLOBE NEWSWIRE) -- Luther Burbank Corporation (the Company) (NASDAQ: LBC), the holding company for Luther Burbank Savings (the Bank), announced this week that it was awarded a $200,000 grant by FHLBank San Francisco (FHLBank);;;265;330;0;261;<e2>SANTA ROSA, Calif., Sept. 25, 2019 (GLOBE NEWSWIRE) -- Luther Burbank Corporation (the Company) (NASDAQ: LBC), the holding company for Luther Burbank Savings (the Bank), announced this week that it was awarded a $200,000 grant by FHLBank San Francisco (FHLBank)</e2> to <e1>benefit the Sonoma County Community Development Commission (CDC).</e1>
0160.00012;In company news, tour operator Thomas Cook confirmed it is seeking £200 million in extra funding as it attempts to prevent a collapse.;it attempts to prevent a collapse.;In company news, tour operator Thomas Cook confirmed it is seeking £200 million in extra funding;;;100;134;0;96;<e2>In company news, tour operator Thomas Cook confirmed it is seeking £200 million in extra funding</e2> as <e1>it attempts to prevent a collapse.</e1>
0160.00016;Mattress seller Eve Sleep returned to the junior AIM stock exchange on Friday, after saying a planned merger with rival Simba will not go ahead and revenues will be below expectations. The shares crashed 32% to 3.31p.;Mattress seller Eve Sleep returned to the junior AIM stock exchange on Friday, after saying a planned merger with rival Simba will not go ahead and revenues will be below expectations.;The shares crashed 32% to 3.31p.;184.0;;0;184;185;217;<e1>Mattress seller Eve Sleep returned to the junior AIM stock exchange on Friday, after saying a planned merger with rival Simba will not go ahead and revenues will be below expectations.</e1> <e2>The shares crashed 32% to 3.31p.</e2>
0167.00009.1;Earlier this year it signed up for a $6 billion credit facility. As part of the deal, We agreed to make the facility contingent on it raising $3 billion of equity. The debt deal is an all or nothing proposition: It only comes if We successfully raises $3 billion.;As part of the deal, We agreed to make the facility contingent on it raising $3 billion of equity.;Earlier this year it signed up for a $6 billion credit facility.;64.0;163.0;65;163;0;64;<e2>Earlier this year it signed up for a $6 billion credit facility.</e2> <e1>As part of the deal, We agreed to make the facility contingent on it raising $3 billion of equity.</e1> The debt deal is an all or nothing proposition: It only comes if We successfully raises $3 billion.
0167.00009.2;Earlier this year it signed up for a $6 billion credit facility. As part of the deal, We agreed to make the facility contingent on it raising $3 billion of equity. The debt deal is an all or nothing proposition: It only comes if We successfully raises $3 billion.;The debt deal is an all or nothing proposition: It only comes if We successfully raises $3 billion.;Earlier this year it signed up for a $6 billion credit facility.;64.0;163.0;164;263;0;64;<e2>Earlier this year it signed up for a $6 billion credit facility.</e2> As part of the deal, We agreed to make the facility contingent on it raising $3 billion of equity. <e1>The debt deal is an all or nothing proposition: It only comes if We successfully raises $3 billion.</e1>
0168.00003;Assets under management at Openwork have continued to grow into this year hitting £8bn in July as the network reported a growing demand for advice.;the network reported a growing demand for advice.;Assets under management at Openwork have continued to grow into this year hitting £8bn in July;;;98;147;0;94;<e2>Assets under management at Openwork have continued to grow into this year hitting £8bn in July</e2> as <e1>the network reported a growing demand for advice.</e1>
0170.00009;Read more …  Kraft Heinz Co (NASDAQ:KHC) Director Jorge P. Lemann purchased 3,496,503 shares of the stock in a transaction that occurred on Monday, September 16th. The shares were purchased at an average cost of $28.60 per share, for a total transaction of $99,999,985.80. Following the completion of the acquisition, the director now directly owns 3,516,449 shares of the company's stock, valued at approximately $100,570,441.40.;Read more …  Kraft Heinz Co (NASDAQ:KHC) Director Jorge P. Lemann purchased 3,496,503 shares of the stock in a transaction that occurred on Monday, September 16th.;Following the completion of the acquisition, the director now directly owns 3,516,449 shares of the company's stock, valued at approximately $100,570,441.40.;163.0;272.0;0;163;273;430;<e1>Read more …  Kraft Heinz Co (NASDAQ:KHC) Director Jorge P. Lemann purchased 3,496,503 shares of the stock in a transaction that occurred on Monday, September 16th.</e1> The shares were purchased at an average cost of $28.60 per share, for a total transaction of $99,999,985.80. <e2>Following the completion of the acquisition, the director now directly owns 3,516,449 shares of the company's stock, valued at approximately $100,570,441.40.</e2>
0170.00011;Read more …  Kraft Heinz Co (NASDAQ:KHC) Director Damme Alexandre Van purchased 250,000 shares of Kraft Heinz stock in a transaction dated Wednesday, September 18th. The shares were bought at an average price of $28.45 per share, with a total value of $7,112,500.00. Following the completion of the transaction, the director now owns 8,168 shares in the company, valued at approximately $232,379.60.;Read more …  Kraft Heinz Co (NASDAQ:KHC) Director Damme Alexandre Van purchased 250,000 shares of Kraft Heinz stock in a transaction dated Wednesday, September 18th.;Following the completion of the transaction, the director now owns 8,168 shares in the company, valued at approximately $232,379.60.;165.0;266.0;0;165;267;399;<e1>Read more …  Kraft Heinz Co (NASDAQ:KHC) Director Damme Alexandre Van purchased 250,000 shares of Kraft Heinz stock in a transaction dated Wednesday, September 18th.</e1> The shares were bought at an average price of $28.45 per share, with a total value of $7,112,500.00. <e2>Following the completion of the transaction, the director now owns 8,168 shares in the company, valued at approximately $232,379.60.</e2>
0170.00015;Readmore …  Dominion Energy Inc (NYSE:D) Director Michael E. Szymanczyk purchased 21,400 shares of Dominion Energy stock in a transaction on Friday, September 13th. The shares were acquired at an average price of $78.85 per share, for a total transaction of $1,687,390.00. Following the completion of the transaction, the director now directly owns 19,541 shares of the company's stock, valued at $1,540,807.85.;Readmore …  Dominion Energy Inc (NYSE:D) Director Michael E. Szymanczyk purchased 21,400 shares of Dominion Energy stock in a transaction on Friday, September 13th.;Following the completion of the transaction, the director now directly owns 19,541 shares of the company's stock, valued at $1,540,807.85.;164.0;272.0;0;164;273;411;<e1>Readmore …  Dominion Energy Inc (NYSE:D) Director Michael E. Szymanczyk purchased 21,400 shares of Dominion Energy stock in a transaction on Friday, September 13th.</e1> The shares were acquired at an average price of $78.85 per share, for a total transaction of $1,687,390.00. <e2>Following the completion of the transaction, the director now directly owns 19,541 shares of the company's stock, valued at $1,540,807.85.</e2>
0170.00022;PLC (NYSE:ETN) insider Ken D. Semelsberger sold 17,000 shares of the company's stock in a transaction dated Friday, September 13th. The shares were sold at an average price of $88.69, for a total transaction of $1,507,730.00. Following the transaction, the insider now owns 69,936 shares in the company, valued at approximately $6,202,623.84.;PLC (NYSE:ETN) insider Ken D. Semelsberger sold 17,000 shares of the company's stock in a transaction dated Friday, September 13th.;Following the transaction, the insider now owns 69,936 shares in the company, valued at approximately $6,202,623.84.;131.0;225.0;0;131;226;342;<e1>PLC (NYSE:ETN) insider Ken D. Semelsberger sold 17,000 shares of the company's stock in a transaction dated Friday, September 13th.</e1> The shares were sold at an average price of $88.69, for a total transaction of $1,507,730.00. <e2>Following the transaction, the insider now owns 69,936 shares in the company, valued at approximately $6,202,623.84.</e2>
0170.00039;(NYSE:SYY) Director John M. Cassaday sold 20,203 shares of the firm's stock in a transaction that occurred on Monday, September 16th. The stock was sold at an average price of $77.23, for a total transaction of $1,560,277.69. Following the sale, the director now owns 52,785 shares in the company, valued at approximately $4,076,585.55.;(NYSE:SYY) Director John M. Cassaday sold 20,203 shares of the firm's stock in a transaction that occurred on Monday, September 16th.;Following the sale, the director now owns 52,785 shares in the company, valued at approximately $4,076,585.55.;133.0;225.0;0;133;226;336;<e1>(NYSE:SYY) Director John M. Cassaday sold 20,203 shares of the firm's stock in a transaction that occurred on Monday, September 16th.</e1> The stock was sold at an average price of $77.23, for a total transaction of $1,560,277.69. <e2>Following the sale, the director now owns 52,785 shares in the company, valued at approximately $4,076,585.55.</e2>
0171.00017;Up to 85% of your benefits may be taxable if you are single and earn more than $34,000 or if you are married and earn more than $44,000.;you are single and earn more than $34,000 or if you are married and earn more than $44,000.;Up to 85% of your benefits may be taxable;;;45;136;0;41;<e2>Up to 85% of your benefits may be taxable</e2> if <e1>you are single and earn more than $34,000 or if you are married and earn more than $44,000.</e1>
0171.00021;If you work in a government position and receive a pension for work not subject to Social Security taxes, your Social Security benefits received as a spouse or widow or widower are reduced by two-thirds of the amount of the pension.;If you work in a government position and receive a pension for work not subject to Social Security taxes;your Social Security benefits received as a spouse or widow or widower are reduced by two-thirds of the amount of the pension.;;;0;104;106;232;<e1>If you work in a government position and receive a pension for work not subject to Social Security taxes</e1>, <e2>your Social Security benefits received as a spouse or widow or widower are reduced by two-thirds of the amount of the pension.</e2>
0171.00023;For example, if you are eligible to receive $1,200 in Social Security but also receive $900 per month from a government pension, your Social Security benefits are reduced by $600 to account for your pension income.;For example, if you are eligible to receive $1,200 in Social Security but also receive $900 per month from a government pension;your Social Security benefits are reduced by $600 to account for your pension income.;;;0;127;129;214;<e1>For example, if you are eligible to receive $1,200 in Social Security but also receive $900 per month from a government pension</e1>, <e2>your Social Security benefits are reduced by $600 to account for your pension income.</e2>
0172.00009;The company was buffered by turbulence from a weak Chinese autos sector in Q2 2019, with total revenues up just 8.9%, to 2.79 billion RMB ($390 million U.S.) CFO Ming Xu stated that the company expects to revenues to further slip in Q3, with estimates ranging from a 2.8% decrease to a 0.9% increase year-over-year in the coming quarter.;The company was buffered by turbulence from a weak Chinese autos sector in Q2 2019, with total revenues up just 8.9%;2.79 billion RMB ($390 million U.S.) CFO Ming Xu stated that the company expects to revenues to further slip in Q3, with estimates ranging from a 2.8% decrease to a 0.9% increase year-over-year in the coming quarter.;;;0;116;121;337;<e1>The company was buffered by turbulence from a weak Chinese autos sector in Q2 2019, with total revenues up just 8.9%</e1>, to <e2>2.79 billion RMB ($390 million U.S.) CFO Ming Xu stated that the company expects to revenues to further slip in Q3, with estimates ranging from a 2.8% decrease to a 0.9% increase year-over-year in the coming quarter.</e2>
0175.00008;- - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - WCF Bancorp - 0 - 0 - 0 - 0 - N/A  - BCB Bancorp - 0 - 1 - 0 - 0 - 2.00  BCB Bancorp has a consensus price target of $12.00, indicating a potential downside of 7.55%.;BCB Bancorp has a consensus price target of $12.00;indicating a potential downside of 7.55%.;;;158;208;210;251;- - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - WCF Bancorp - 0 - 0 - 0 - 0 - N/A  - BCB Bancorp - 0 - 1 - 0 - 0 - 2.00  <e1>BCB Bancorp has a consensus price target of $12.00</e1>, <e2>indicating a potential downside of 7.55%.</e2>
0179.00004;Brent crude futures fell 0.64% to $64.14 a barrel while U.S. West Texas Intermediate (WTI) crude lost 0.78% to $58.88 per barrel. Saudi Energy Minister Prince Abdulaziz bin Salman said the kingdom has recovered supplies by tapping inventories, and lost oil output of 5.7 million barrels per day (bpd) by the end of September  Saudi Arabia's oil output will be fully restored faster than thought following weekend attacks on production facilities, two sources briefed on developments also said on Tuesday, taking two or three weeks, not months as initially expected.;Saudi Energy Minister Prince Abdulaziz bin Salman said the kingdom has recovered supplies by tapping inventories, and lost oil output of 5.7 million barrels per day (bpd) by the end of September  Saudi Arabia's oil output will be fully restored faster than thought following weekend attacks on production facilities, two sources briefed on developments also said on Tuesday, taking two or three weeks, not months as initially expected.;Brent crude futures fell 0.64% to $64.14 a barrel while U.S. West Texas Intermediate (WTI) crude lost 0.78% to $58.88 per barrel.;129.0;;130;565;0;129;<e2>Brent crude futures fell 0.64% to $64.14 a barrel while U.S. West Texas Intermediate (WTI) crude lost 0.78% to $58.88 per barrel.</e2> <e1>Saudi Energy Minister Prince Abdulaziz bin Salman said the kingdom has recovered supplies by tapping inventories, and lost oil output of 5.7 million barrels per day (bpd) by the end of September  Saudi Arabia's oil output will be fully restored faster than thought following weekend attacks on production facilities, two sources briefed on developments also said on Tuesday, taking two or three weeks, not months as initially expected.</e1>
0179.00012;Sterling traded at $1.2504, up 0.06% so far on the day, having hit two-month high of $1.2528 as investors reversed their bets against the currency on fear of a no-deal Brexit at the end of next month.;investors reversed their bets against the currency on fear of a no-deal Brexit at the end of next month.;Sterling traded at $1.2504, up 0.06% so far on the day, having hit two-month high of $1.2528;;;96;200;0;92;<e2>Sterling traded at $1.2504, up 0.06% so far on the day, having hit two-month high of $1.2528</e2> as <e1>investors reversed their bets against the currency on fear of a no-deal Brexit at the end of next month.</e1>
0190.00007;This will be implemented by expanding the IRS bureaucracy, having these tax collectors appraise the value of the property (her website doesn't address that there could be a conflict of interest), and having a mandatory annual audit rate to make sure everyone pays - and if you dare try to renounce your citizenship because of this tax, then the IRS will seize 40 percent of what you own as an exit tax.;This will be implemented by expanding the IRS bureaucracy, having these tax collectors appraise the value of the property (her website doesn't address that there could be a conflict of interest), and having a mandatory annual audit rate to make sure everyone pays - and if you dare try to renounce your citizenship because of this tax;the IRS will seize 40 percent of what you own as an exit tax.;;;0;334;341;402;<e1>This will be implemented by expanding the IRS bureaucracy, having these tax collectors appraise the value of the property (her website doesn't address that there could be a conflict of interest), and having a mandatory annual audit rate to make sure everyone pays - and if you dare try to renounce your citizenship because of this tax</e1>, then <e2>the IRS will seize 40 percent of what you own as an exit tax.</e2>
0192.00011;While companies can avail 15% tax rate by making capital expenditure through a new legal entity, they have to be mindful that this is not a restructuring and even the new company shouldn't have borrowed money from existing entity or even customers can't be moved to the new company.;making capital expenditure through a new legal entity, they have to be mindful that this is not a restructuring and even the new company shouldn't have borrowed money from existing entity or even customers can't be moved to the new company.;While companies can avail 15% tax rate;;;42;282;0;38;<e2>While companies can avail 15% tax rate</e2> by <e1>making capital expenditure through a new legal entity, they have to be mindful that this is not a restructuring and even the new company shouldn't have borrowed money from existing entity or even customers can't be moved to the new company.</e1>
0202.00015;Investors managing assets worth $35 trillion this week urged companies and governments to act with the utmost urgency to combat climate change.;combat climate change.;Investors managing assets worth $35 trillion this week urged companies and governments to act with the utmost urgency;;;121;143;0;117;<e2>Investors managing assets worth $35 trillion this week urged companies and governments to act with the utmost urgency</e2> to <e1>combat climate change.</e1>
0206.00003;NYSEARCA:EUSA traded down $0.78 during trading hours on Tuesday, hitting $59.39. 23,400 shares of the stock traded hands, compared to its average volume of 22,384. iShares MSCI USA Equal Weighted ETF has a 1 year low of $47.02 and a 1 year high of $60.89.;NYSEARCA:EUSA traded down $0.78 during trading hours on Tuesday;hitting $59.39.;;;0;63;65;80;<e1>NYSEARCA:EUSA traded down $0.78 during trading hours on Tuesday</e1>, <e2>hitting $59.39.</e2> 23,400 shares of the stock traded hands, compared to its average volume of 22,384. iShares MSCI USA Equal Weighted ETF has a 1 year low of $47.02 and a 1 year high of $60.89.
0209.00014;Profitability also has improved over the past decade as the company got larger and more efficient, reflected in its EBITDA margin that increased from levels of about 32% in 2009 to a new record high of near 38% in 2018.;Profitability also has improved over the past decade as the company got larger and more efficient;its EBITDA margin that increased from levels of about 32% in 2009 to a new record high of near 38% in 2018.;;;0;97;112;219;<e1>Profitability also has improved over the past decade as the company got larger and more efficient</e1>, reflected in <e2>its EBITDA margin that increased from levels of about 32% in 2009 to a new record high of near 38% in 2018.</e2>
0209.00019;Its operating income was $1.8 billion, while net income decreased a little to $1.2 billion due to disposals.;disposals.;Its operating income was $1.8 billion, while net income decreased a little to $1.2 billion;;;98;108;0;90;<e2>Its operating income was $1.8 billion, while net income decreased a little to $1.2 billion</e2> due to <e1>disposals.</e1>
0209.00024;On the other hand, its adjusted operating margin declined by some 40 basis points (bps) and Fiserv's free cash flow conversion was below 100%, due to a decline in profitability at its Payments unit during the first quarter of 2019.;a decline in profitability at its Payments unit during the first quarter of 2019.;On the other hand, its adjusted operating margin declined by some 40 basis points (bps) and Fiserv's free cash flow conversion was below 100%;;;150;231;0;141;<e2>On the other hand, its adjusted operating margin declined by some 40 basis points (bps) and Fiserv's free cash flow conversion was below 100%</e2>, due to <e1>a decline in profitability at its Payments unit during the first quarter of 2019.</e1>
0209.00031;This means that integration risk is high and will change Fiserv's business, with a significant exposure to the intensely competitive market of merchant-payments processing at about 38% of combined revenue.;This means that integration risk is high;will change Fiserv's business, with a significant exposure to the intensely competitive market of merchant-payments processing at about 38% of combined revenue.;;;0;40;45;205;<e1>This means that integration risk is high</e1> and <e2>will change Fiserv's business, with a significant exposure to the intensely competitive market of merchant-payments processing at about 38% of combined revenue.</e2>
0210.00007;Finally, Commonwealth Equity Services LLC grew its stake in Vanguard High Dividend Yield ETF by 0.9% in the 2nd quarter. Commonwealth Equity Services LLC now owns 1,206,053 shares of the company's stock worth $105,384,000 after buying an additional 10,557 shares in the last quarter.;Finally, Commonwealth Equity Services LLC grew its stake in Vanguard High Dividend Yield ETF by 0.9% in the 2nd quarter.;Commonwealth Equity Services LLC now owns 1,206,053 shares of the company's stock worth $105,384,000 after buying an additional 10,557 shares in the last quarter.;120.0;;0;120;121;283;<e1>Finally, Commonwealth Equity Services LLC grew its stake in Vanguard High Dividend Yield ETF by 0.9% in the 2nd quarter.</e1> <e2>Commonwealth Equity Services LLC now owns 1,206,053 shares of the company's stock worth $105,384,000 after buying an additional 10,557 shares in the last quarter.</e2>
0216.00008;Now down to 6-8% due to drop in housing prices), he wrote.;drop in housing prices), he wrote.;Now down to 6-8%;;;24;58;0;16;<e2>Now down to 6-8%</e2> due to <e1>drop in housing prices), he wrote.</e1>
0218.00007;China Biologic Products Holdings Inc., up $10.85 to $113.99  The biotechnology company received an offer from a group of potential buyers looking to take it private.;The biotechnology company received an offer from a group of potential buyers looking to take it private.;China Biologic Products Holdings Inc., up $10.85 to $113.99;;;61;165;0;59;<e2>China Biologic Products Holdings Inc., up $10.85 to $113.99</e2>  <e1>The biotechnology company received an offer from a group of potential buyers looking to take it private.</e1>
0224.00006;- - Net Margins - Return on Equity - Return on Assets  - Bilibili - -17.94% - -13.32% - -8.25%  - Autohome - 39.33% - 29.47% - 21.42%  Analyst Ratings  This is a summary of current recommendations and price targets for Bilibili and Autohome, as provided by MarketBeat.com.  - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Bilibili - 0 - 1 - 9 - 0 - 2.90  - Autohome - 0 - 5 - 5 - 0 - 2.50  Bilibili currently has a consensus price target of $19.55, indicating a potential upside of 28.11%.;Bilibili currently has a consensus price target of $19.55;indicating a potential upside of 28.11%.;;;427;484;486;526;- - Net Margins - Return on Equity - Return on Assets  - Bilibili - -17.94% - -13.32% - -8.25%  - Autohome - 39.33% - 29.47% - 21.42%  Analyst Ratings  This is a summary of current recommendations and price targets for Bilibili and Autohome, as provided by MarketBeat.com.  - - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Bilibili - 0 - 1 - 9 - 0 - 2.90  - Autohome - 0 - 5 - 5 - 0 - 2.50  <e1>Bilibili currently has a consensus price target of $19.55</e1>, <e2>indicating a potential upside of 28.11%.</e2>
0232.00002;The economic impact of the now five-day long UAW strike of General Motors Co. is mounting  -  and expected to rise as the strike ripples through the supply base. Striking GM union members, laid-off temporary workers and suppliers workers linked to GM production are losing an estimated $9.3 million per day, according to an analysis released by East Lansing-based Anderson Economic Group.;The economic impact of the now five-day long UAW strike of General Motors Co. is mounting  -  and expected to rise as the strike ripples through the supply base.;Striking GM union members, laid-off temporary workers and suppliers workers linked to GM production are losing an estimated $9.3 million per day, according to an analysis released by East Lansing-based Anderson Economic Group.;161.0;;0;161;162;388;<e1>The economic impact of the now five-day long UAW strike of General Motors Co. is mounting  -  and expected to rise as the strike ripples through the supply base.</e1> <e2>Striking GM union members, laid-off temporary workers and suppliers workers linked to GM production are losing an estimated $9.3 million per day, according to an analysis released by East Lansing-based Anderson Economic Group.</e2>
0232.00004;This translates to roughly $2.23 million in lost income tax revenue for the state from $46.5 million in lost wages since the strike began at midnight on Monday.;the strike began at midnight on Monday.;This translates to roughly $2.23 million in lost income tax revenue for the state from $46.5 million in lost wages;;;121;160;0;114;<e2>This translates to roughly $2.23 million in lost income tax revenue for the state from $46.5 million in lost wages</e2> since <e1>the strike began at midnight on Monday.</e1>
0232.00010;Anderson Economic Group estimates the lost earnings to climb to as high as $13 million per day by next week as more and more suppliers are lay off workers due to the strike. Income tax revenue losses are also anticipated to grow to $600,00 per day by next week.;Anderson Economic Group estimates the lost earnings to climb to as high as $13 million per day by next week as more and more suppliers are lay off workers due to the strike.;Income tax revenue losses are also anticipated to grow to $600,00 per day by next week.;173.0;;0;173;174;261;<e1>Anderson Economic Group estimates the lost earnings to climb to as high as $13 million per day by next week as more and more suppliers are lay off workers due to the strike.</e1> <e2>Income tax revenue losses are also anticipated to grow to $600,00 per day by next week.</e2>
0237.00002.1;(c) Sky News 2019: Thomas Cook collapse: Repatriation to take two weeks  Sharon Marris, news reporter, and James Sillars, business reporter  Published: 23 09 2019  The programme, named Operation Matterhorn, is expected to last until Sunday 6 October and will rescue 150,000 stranded customers - almost twice the number brought home after Monarch Airlines failed in 2017 - at an estimated cost of £100m.;Monarch Airlines failed in 2017;an estimated cost of £100m.;;;338;369;375;402;(c) Sky News 2019: Thomas Cook collapse: Repatriation to take two weeks  Sharon Marris, news reporter, and James Sillars, business reporter  Published: 23 09 2019  The programme, named Operation Matterhorn, is expected to last until Sunday 6 October and will rescue 150,000 stranded customers - almost twice the number brought home after <e1>Monarch Airlines failed in 2017</e1> - at <e2>an estimated cost of £100m.</e2>
0237.00002.2;(c) Sky News 2019: Thomas Cook collapse: Repatriation to take two weeks  Sharon Marris, news reporter, and James Sillars, business reporter  Published: 23 09 2019  The programme, named Operation Matterhorn, is expected to last until Sunday 6 October and will rescue 150,000 stranded customers - almost twice the number brought home after Monarch Airlines failed in 2017 - at an estimated cost of £100m.;(c) Sky News 2019: Thomas Cook collapse;The programme, named Operation Matterhorn, is expected to last until Sunday 6 October and will rescue 150,000 stranded customers;;;0;39;164;292;<e1>(c) Sky News 2019: Thomas Cook collapse</e1>: Repatriation to take two weeks  Sharon Marris, news reporter, and James Sillars, business reporter  Published: 23 09 2019  <e2>The programme, named Operation Matterhorn, is expected to last until Sunday 6 October and will rescue 150,000 stranded customers</e2> - almost twice the number brought home after Monarch Airlines failed in 2017 - at an estimated cost of £100m.
0237.00009;The Civil Aviation Authority (CAA) has mobilised more than 40 aircraft from airlines including British Airways and easyJet to bring 150,000 Thomas Cook customers home to the UK.;bring 150,000 Thomas Cook customers home to the UK.;The Civil Aviation Authority (CAA) has mobilised more than 40 aircraft from airlines including British Airways and easyJet;;;126;177;0;122;<e2>The Civil Aviation Authority (CAA) has mobilised more than 40 aircraft from airlines including British Airways and easyJet</e2> to <e1>bring 150,000 Thomas Cook customers home to the UK.</e1>
0242.00012.1;Shares have risen 44 percent over the past year. Including dividends, the returns have been 51 percent. Keppel DC will use the newly raised funds to expand its portfolio to S$2.58 billion, spread across 17 data centers globally.;Shares have risen 44 percent over the past year.;Keppel DC will use the newly raised funds to expand its portfolio to S$2.58 billion, spread across 17 data centers globally.;48.0;103.0;0;48;104;228;<e1>Shares have risen 44 percent over the past year.</e1> Including dividends, the returns have been 51 percent. <e2>Keppel DC will use the newly raised funds to expand its portfolio to S$2.58 billion, spread across 17 data centers globally.</e2>
0242.00012.2;Shares have risen 44 percent over the past year. Including dividends, the returns have been 51 percent. Keppel DC will use the newly raised funds to expand its portfolio to S$2.58 billion, spread across 17 data centers globally.;Including dividends, the returns have been 51 percent.;Keppel DC will use the newly raised funds to expand its portfolio to S$2.58 billion, spread across 17 data centers globally.;48.0;103.0;49;103;104;228;Shares have risen 44 percent over the past year. <e1>Including dividends, the returns have been 51 percent.</e1> <e2>Keppel DC will use the newly raised funds to expand its portfolio to S$2.58 billion, spread across 17 data centers globally.</e2>
0242.00014;Not surprisingly, Mapletree Industrial Trust increased the size of its private placement to S$400 million after it was covered 6.3 times.;it was covered 6.3 times.;Not surprisingly, Mapletree Industrial Trust increased the size of its private placement to S$400 million;;;112;137;0;105;<e2>Not surprisingly, Mapletree Industrial Trust increased the size of its private placement to S$400 million</e2> after <e1>it was covered 6.3 times.</e1>
